"Date","Price","Open","High","Low","Vol.","Change %"
"26/08/2024","4,502.45","4,489.00","4,552.15","4,485.00","1.84M","0.86%"
"23/08/2024","4,463.90","4,500.00","4,506.00","4,455.00","1.81M","-0.85%"
"22/08/2024","4,502.00","4,560.00","4,560.95","4,497.20","1.83M","-1.09%"
"21/08/2024","4,551.50","4,518.00","4,560.00","4,492.55","1.90M","0.62%"
"20/08/2024","4,523.30","4,505.00","4,565.00","4,500.00","2.21M","0.74%"
"19/08/2024","4,490.00","4,421.00","4,494.25","4,390.35","2.06M","1.67%"
"16/08/2024","4,416.05","4,350.00","4,427.00","4,325.10","3.46M","2.81%"
"14/08/2024","4,295.25","4,209.00","4,306.20","4,188.15","3.23M","2.34%"
"13/08/2024","4,196.95","4,213.00","4,234.00","4,183.00","1.50M","0.03%"
"12/08/2024","4,195.65","4,230.00","4,239.00","4,186.35","936.91K","-0.78%"
"09/08/2024","4,228.75","4,217.00","4,253.65","4,205.55","1.30M","1.35%"
"08/08/2024","4,172.55","4,181.00","4,232.00","4,160.00","2.44M","-0.66%"
"07/08/2024","4,200.45","4,228.00","4,244.95","4,180.30","1.24M","0.70%"
"06/08/2024","4,171.20","4,170.95","4,258.25","4,160.80","2.20M","0.39%"
"05/08/2024","4,155.05","4,239.00","4,239.00","4,110.50","2.79M","-2.99%"
"02/08/2024","4,283.05","4,365.00","4,398.00","4,270.00","2.81M","-2.59%"
"01/08/2024","4,397.10","4,399.40","4,419.30","4,365.05","2.20M","0.27%"
"31/07/2024","4,385.35","4,350.00","4,414.00","4,345.00","2.33M","0.46%"
"30/07/2024","4,365.35","4,391.10","4,398.00","4,327.30","1.80M","-0.36%"
"29/07/2024","4,381.10","4,415.00","4,431.00","4,371.00","1.75M","-0.15%"
"26/07/2024","4,387.85","4,350.00","4,422.45","4,337.05","3.55M","1.51%"
"25/07/2024","4,322.50","4,295.00","4,343.00","4,274.20","2.81M","0.38%"
"24/07/2024","4,306.25","4,287.50","4,339.10","4,268.10","1.81M","0.09%"
"23/07/2024","4,302.35","4,283.00","4,361.70","4,266.30","2.37M","0.35%"
"22/07/2024","4,287.35","4,299.95","4,319.95","4,265.00","1.90M","-0.35%"
"19/07/2024","4,302.40","4,317.40","4,358.75","4,285.25","3.90M","-0.30%"
"18/07/2024","4,315.55","4,160.00","4,325.00","4,160.00","5.61M","3.28%"
"16/07/2024","4,178.45","4,172.00","4,194.55","4,144.90","2.03M","0.22%"
"15/07/2024","4,169.20","4,235.70","4,240.00","4,157.05","4.85M","-0.35%"
"12/07/2024","4,183.95","3,980.00","4,199.95","3,971.30","13.51M","6.63%"
"11/07/2024","3,923.70","3,931.00","3,980.00","3,895.60","4.87M","0.37%"
"10/07/2024","3,909.15","3,983.70","4,003.30","3,902.00","2.67M","-1.92%"
"09/07/2024","3,985.50","3,985.00","4,006.95","3,975.10","1.31M","-0.19%"
"08/07/2024","3,993.20","4,022.00","4,031.25","3,978.05","1.76M","-0.46%"
"05/07/2024","4,011.80","4,010.00","4,026.75","3,988.00","1.67M","-0.23%"
"04/07/2024","4,020.95","3,999.85","4,047.35","3,982.10","2.52M","1.40%"
"03/07/2024","3,965.25","4,020.00","4,026.10","3,955.00","1.82M","-1.30%"
"02/07/2024","4,017.40","3,993.60","4,023.40","3,982.55","2.31M","0.99%"
"01/07/2024","3,978.20","3,884.00","4,001.70","3,884.00","2.66M","1.90%"
